Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years
Sonny Weems,2.3,0.3,0.527,0.366,78,203,13.3,1.3,2.8,4.6,2
Chris Douglas-Roberts,1.7,0.4,0.579,0.372,79,200,14.2,1,2.1,3.7,3
Sean Singletary,4.8,0.1,0.433,0.362,72,185,16.9,1.6,3.9,4,4
Patrick Ewing,0.9,3.4,0,0,84,240,15.3,1.2,2.3,9.2,4
Trent Plaisted,1.2,1,0.535,0,83,0,13.3,0.4,2.4,6.7,4
Bill Walker,1.7,0.5,0.52,0.285,78,220,15.3,0.8,2.6,6,2
Malik Hairston,2.1,0.6,0.551,0.395,78,220,14.1,0.6,1.8,5.1,4
Richard Hendrix,1.4,1.6,0.596,0.231,81,0,14,0.9,1.7,8.9,3
DeVon Hardin,0.4,1.3,0.517,0,83,0,7.4,0.4,1.4,6.4,4
Shan Foster,1.7,0.3,0.543,0.421,78,0,15.2,0.8,1.7,3.9,4
Darnell Jackson,0.5,0.4,0.583,0.333,81,253,6.8,0.5,1.3,4.9,4
Maarty Leunen,1.8,0.4,0.573,0.397,81,0,9.9,1,1.6,7.1,4
Mike Taylor,4.5,0.1,0.391,0.36,74,165,16,1.1,0,4.1,1
Sasha Kaun,0.3,1.1,0.568,0,83,0,6.1,0.4,0.8,3.9,4
James Gist,1.1,1.8,0.523,0.33,81,0,10.9,0.9,2.7,6,4
Joe Crawford,1.5,0.2,0.512,0.35,77,210,11.3,0.5,2.8,3.4,4
Deron Washington,1.5,0.9,0.498,0.294,79,0,11,1.2,2.1,5.4,4
Blake Griffin,2.1,1,0.622,0.3,82,0,18.8,1.1,2.8,11.8,2
Hasheem Thabeet,0.4,4.2,0.611,0,87,0,10.3,0.4,1.8,8.5,3
James Harden,3.7,0.4,0.57,0.376,77,0,19,1.9,3,5.4,2
Tyreke Evans,3.9,0.8,0.514,0.274,78,0,17.1,2.1,3.6,5.4,1
Jonny Flynn,6,0.2,0.525,0.333,72,0,16.6,1.5,3.1,2.7,2
Stephen Curry,3.7,0.3,0.53,0.412,75,0,25.3,2.1,3.1,4.5,3
Jordan Hill,0.8,1.4,0.578,0,82,235,12.5,0.5,2.5,7.9,3
DeMar DeRozan,1.5,0.4,0.562,0.167,79,0,13.9,0.9,2.1,5.7,1
Terrence Williams,3.9,0.6,0.457,0.32,78,0,11.2,1.5,2.6,6.9,4
Gerald Henderson,0,0,0,0,74,175,15,0,0,3.2,4
Tyler Hansbrough,1.1,0.5,0.541,0.316,81,0,20.2,1.3,2,8.6,4
Earl Clark,1.7,1.2,0.512,0.298,81,0,10.6,0.9,2.8,7,3
Austin Daye,1,1.9,0.495,0.422,83,0,11.6,0.7,1.9,5.8,2
James Johnson,3.8,0.1,0.394,0.37,72,195,13.6,1.5,2.2,3.5,4
Jrue Holiday,3.7,0.5,0.528,0.307,75,0,8.5,1.6,2.1,3.8,1
Ty Lawson,5.8,0.1,0.568,0.403,71,0,13.1,1.8,2,2.9,3
Jeff Teague,3,0.6,0.477,0.421,74,0,16.4,1.9,3,3,2
Eric Maynor,5.2,0.2,0.477,0.37,74,0,15,1.3,3,3.4,4
Darren Collison,4.1,0.1,0.496,0.439,73,0,11.6,1.6,2.4,2.3,4
Taj Gibson,1.4,2.4,0.58,0,81,0,12.4,0.7,2.3,8.5,3
DeMarre Carroll,1.8,0.7,0.57,0.311,80,0,14.9,1.4,1.5,6.9,4
Wayne Ellington,2.2,0.1,0.513,0.397,76,0,14.7,0.9,1.7,4.1,3
Toney Douglas,2.9,0.3,0.491,0.376,73,0,16.7,1.9,2.6,3.3,4
Jeff Pendergraph,0.8,1,0.585,0,82,0,12.6,0.5,1.6,7.5,4
Jermaine Taylor,1.4,0.4,0.536,0.376,76,0,16.2,0.9,2.7,3.9,4
Dante Cunningham,1,0.8,0.525,0.333,81,0,9.6,1.2,2.2,5.9,4
DaJuan Summers,1.3,0.6,0.522,0.353,80,0,11.2,1,2.3,4.4,3
Sam Young,1,0.8,0.539,0.356,78,0,13.2,0.8,2.4,5,4
DeJuan Blair,1.1,1,0.568,0,79,0,13.6,1.6,1.6,10.7,2
Jon Brockman,1,0.1,0.534,0,79,0,13.8,0.8,2.1,9.8,4
Derrick Brown,1.5,0.8,0.61,0.415,80,0,10.3,0.7,1.8,5.6,3
Jodie Meeks,1.6,0.1,0.491,0.386,77,0,15.4,1.1,2.3,3,3
Patrick Beverley,2.8,0.4,0.463,0.382,73,0,13,1.5,2,5.5,2
Marcus Thornton,1.8,0.3,0.51,0.382,76,0,20.4,1.5,2,5.5,2
Chase Budinger,2.8,0.4,0.524,0.383,79,0,17,1.3,2.4,5.8,3
Nick Calathes,6.3,0.1,0.507,0.38,78,0,16.3,1.8,3.1,5.3,2
Danny Green,1.8,1.1,0.522,0.375,77,0,9.4,1.1,1.8,4.1,4
Taylor Griffin,1,0.8,0.493,0.22,79,0,6.6,0.9,1.5,4.8,4
Goran Suton,1.6,0.7,0.536,0.348,82,0,8.1,0.8,1.7,6.6,4
Jack McClinton,2.5,0,0.416,0.44,73,0,17.9,0.7,2.5,2.7,4
A.J. Price,4.7,0.1,0.447,0.365,74,0,13,1.1,2.5,3.4,3
Robert Vaden,2.3,0.4,0.453,0.374,77,0,19.3,1,2.7,4.2,4
Patrick Mills,3.7,0.2,0.499,0.331,72,0,16.4,2,2.9,2.2,2
Ahmad Nivins,0.5,1.3,0.628,0,81,0,14.2,0.7,2.5,7.6,4
Lester Hudson,4.4,0.6,0.53,0.372,75,0,26.6,2.6,3.6,7.9,2
Chinemelu Elonu,0.2,0.9,0.633,0,82,0,5.1,0.2,1.3,4.4,3
Robert Dozier,1,1.5,0.493,0.312,81,0,9.3,1,1.8,6.5,4
John Wall,6.5,0.5,0.509,0.325,76,0,16.6,1.8,4,4.3,1
Evan Turner,4.1,0.7,0.525,0.362,79,0,15,1.6,3.5,6.8,3
Derrick Favors,1,2.1,0.613,0,82,0,12.4,0.9,2.5,8.4,1
Wesley Johnson,0.1,0.3,0.529,0,80,210,1.6,0.2,0.3,1.5,2
DeMarcus Cousins,1,1.8,0.565,0.167,83,0,15.1,1,2.1,9.8,1
Ekpe Udoh,2.7,3.7,0.505,0.269,82,0,13.9,0.8,2.4,9.8,3
Greg Monroe,3.2,1.5,0.558,0.273,83,0,14.5,1.5,2.9,8.2,2
Al-Farouq Aminu,1.4,1.3,0.522,0.238,81,0,14.4,1.2,2.9,9.4,2
Gordon Hayward,1.8,0.9,0.569,0.369,80,0,14.4,1.3,2,7.4,2
Paul George,2.4,0.9,0.485,0.396,79,0,15.5,2,2.7,6.7,2
Cole Aldrich,0.6,2.3,0.574,0,83,0,9.4,0.5,1.2,7.7,3
Xavier Henry,1.5,0.5,0.492,0.418,78,0,13.4,1.5,1.9,4.4,1
Ed Davis,0.7,2.1,0.548,0,82,0,9.2,0.4,1.4,7.7,2
Patrick Patterson,1.5,1.6,0.604,0.329,81,0,16.1,0.7,1.6,8.2,3
Larry Sanders,0.5,2.7,0.526,0.25,82,0,10.3,0.6,1.5,7.7,3
Luke Babbitt,1.8,0.8,0.494,0.421,81,0,19.4,0.9,2.1,8.1,2
Eric Bledsoe,2.9,0.3,0.516,0.383,73,0,11.3,1.4,3,3.1,1
Avery Bradley,2.1,0.5,0.457,0.375,74,0,11.6,1.3,1.5,2.9,1
James Anderson,0.2,0.4,0.463,0,82,240,1.6,0.1,0.2,1.3,3
Craig Brackins,1.6,1,0.48,0.292,82,0,16,0.5,2,7.7,3
Elliot Williams,3.8,0.1,0.527,0.366,76,0,17.9,1.3,2.9,4,2
Trevor Booker,1.7,1.9,0.574,0.324,79,0,12.9,1.1,1.9,7.9,4
Damion James,1.1,1.1,0.506,0.364,79,0,13.5,1,1.9,9.3,4
