Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School,Pick,Games,WS
Reyshawn Terry,0.9,0.5,0.526,0.419,79,219.1894695,7.3,0.6,2.140225564,3.5,4,North Carolina,44,0,0
Jared Jordan,6.9,0.1,0.521,0.326,74,205.3167183,13.1,1.4,2.140225564,4.8,4,Marist College,45,0,0
Stephane Lasme,0.9,3.4,0.595,0,80,215,8.6,0.7,2.140225564,6.4,4,University of Massachusetts Amherst,46,16,0.3
Dominic McGuire,3.3,3.6,0.516,0.299,81,220,13.5,0.9,2.140225564,9.8,3,Cal State Fresno,47,342,4.1
Aaron Gray,1.3,1.2,0.55,0,84,270,9.8,0.4,2.140225564,7,4,Pittsburgh,49,318,6.2
JamesOn Curry,3.5,0.2,0.464,0.404,75,208.0912685,13.5,1,2.140225564,2.9,3,Oklahoma State,51,1,0
Taurean Green,3.6,0.1,0.419,0.389,72,177,10.6,1.1,2.140225564,2.2,3,Florida,52,17,-0.1
Demetris Nichols,1.1,0.8,0.493,0.358,80,216,10.9,1,2.140225564,4.1,4,Syracuse,53,18,-0.2
Herbert Hill,0.9,1.9,0.615,0,82,227.5131203,9.7,0.8,2.140225564,5.2,4,Providence College,55,0,0
Ramon Sessions,4.9,0.1,0.43,0.313,75,190,8.8,1.2,2.140225564,4.2,3,"University of Nevada, Reno",56,663,28.5
Sammy Mejia,3.2,0.2,0.51,0.328,78,216.4149193,12.1,1,2.140225564,4.8,4,DePaul,57,0,0
D.J. Strawberry,2.9,0.4,0.503,0.33,77,201,10.1,1.8,2.140225564,3.3,4,Maryland,59,33,-0.2
Derrick Rose,4.7,0.4,0.521,0.337,75,190,14.9,1.2,2.7,4.5,1,Memphis,1,470,34.4
Michael Beasley,1.2,1.6,0.562,0.379,81,235,26.2,1.3,2.9,12.4,1,Kansas State,2,509,13
O.J. Mayo,3.3,0.4,0.464,0.409,76,210,20.7,1.5,3.5,4.5,1,Southern California,3,547,21.8
Russell Westbrook,2.5,0.1,0.491,0.354,75,187,8.3,1,2.5,2.4,2,UCLA,4,668,80.1
Kevin Love,1.9,1.4,0.611,0.354,82,260,17.5,0.7,2,10.6,1,UCLA,5,576,70.6
Eric Gordon,2.4,0.6,0.525,0.337,75,222,20.9,1.3,3.6,3.3,1,Indiana,7,492,26.3
Joe Alexander,2,1.2,0.488,0.295,80,230,12.1,0.6,2.2,4.8,3,West Virginia,8,67,0.5
D.J. Augustin,6.2,0,0.463,0.402,72,180,16.9,1.4,2.8,2.9,2,Texas,9,651,30.9
Brook Lopez,1.1,1.9,0.491,0.143,84,260,16,0.5,2.1,7.1,2,Stanford,10,562,49.6
Jerryd Bayless,4,0.1,0.489,0.407,75,200,19.7,1,3,2.7,1,Arizona,11,513,17.6
Jason Thompson,2,1.9,0.544,0.291,83,250,16.7,0.9,2.9,9.6,4,Rider,12,2,0
Brandon Rush,2,0.8,0.458,0.435,78,210,13.6,0.7,1.8,5.5,3,Kansas,13,481,11.2
Anthony Randolph,1.2,2.3,0.483,0.105,82,205,15.6,1.1,3,8.5,1,Louisiana State,14,252,5.8
Robin Lopez,0.8,2.3,0.511,0.5,84,255,9,0.3,1.8,5.6,2,Stanford,15,628,38.3
Marreese Speights,0.5,0.9,0.633,0,82,245,9.5,0.3,1.7,5.4,2,Florida,16,653,25.2
Roy Hibbert,1.3,1.9,0.602,1,86,278,10.9,0.4,1.7,5.9,4,Georgetown,17,662,35.9
JaVale McGee,0.3,1.8,0.563,0.356,84,237,8.7,0.5,2.4,4.8,2,"University of Nevada, Reno",18,493,23.2
J.J. Hickson,1,1.5,0.593,0,81,242,14.8,0.7,2.7,8.5,1,North Carolina State,19,534,21.9
Ryan Anderson,1,0.5,0.532,0.396,81,216,18.7,0.5,2.2,9,2,California,21,556,42.2
