Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,Pick,WS,Games,School
Rodney Carney,1.2,1,0.468,0.362,79,205,14.3,1,2.195454545,4.9,4,16,6.2,299,Memphis
Shawne Williams,1.9,1.4,0.489,0.312,81,225,13.2,1.4,2.195454545,6.2,1,17,6.7,314,Memphis
Quincy Douby,2.7,0.7,0.473,0.389,75,175,17.8,1.3,2.195454545,2.9,3,19,0,143,Rutgers
Renaldo Balkman,1.7,1.1,0.581,0.291,80,208,7.4,1.2,2.195454545,5.3,3,20,7.2,221,South Carolina
Rajon Rondo,4.2,0.2,0.544,0.283,73,171,9.6,2.3,2.195454545,4.5,2,21,53.5,714,Kentucky
Marcus Williams,7.3,0.2,0.413,0.375,75,205,9,1,2.195454545,3.2,3,22,0,203,Connecticut
Josh Boone,0.8,2.2,0.578,0,82,237,9.3,0.5,2.195454545,7,3,23,9.1,256,Connecticut
Kyle Lowry,3,0.2,0.463,0.325,72,175,9.5,1.9,2.195454545,3.8,2,24,69.9,713,Villanova
Shannon Brown,1.9,0.1,0.503,0.364,76,205,12.2,1.3,2.195454545,3.4,3,25,9.2,408,Michigan State
Jordan Farmar,5.2,0.2,0.463,0.333,74,180,13.3,1.2,2.195454545,3,2,26,13.9,504,UCLA
Maurice Ager,1.5,0.3,0.492,0.38,77,202,12.5,0.5,2.195454545,3.4,4,28,-0.9,82,Michigan State
Mardy Collins,3.2,0.2,0.457,0.292,78,220,15.4,2.3,2.195454545,4.6,4,29,-1.6,189,Temple
James White,2.8,0.6,0.508,0.347,79,200,11.7,1,2.195454545,4.7,4,31,10.4,334,Cincinnati
Steve Novak,1,0.1,0.443,0.461,82,220,12.4,0.5,2.195454545,4.2,4,32,14.5,467,Marquette
Solomon Jones,1,2.6,0.507,0,82,230,9.8,0.6,2.195454545,8,2,33,5,281,South Florida
Paul Davis,1.4,0.7,0.549,0.271,83,270,13.2,1.1,2.195454545,7,4,34,0.5,82,Michigan State
P.J. Tucker,2,0.3,0.527,0.5,77,225,13.4,1.3,2.195454545,8.2,3,35,21.1,418,Texas
Craig Smith,1.9,0.8,0.572,0.239,79,250,18.1,1.3,2.195454545,8.6,4,36,16,403,Boston College
Bobby Jones,0,0,0,0,81,210,13.7,0,2.195454545,8.9,3,37,94.1,941,Washington
David Noel,1.9,0.5,0.6,0.354,78,230,6.9,1.1,2.195454545,4.3,4,39,0.4,68,North Carolina
Denham Brown,1.3,0.2,0.466,0.354,78,216.2441944,9.4,0.7,2.195454545,3.9,4,40,0,0,Connecticut
James Augustine,1.1,1,0.623,0.333,82,235,10.1,1,2.195454545,7.5,4,41,0.3,27,Illinois
Daniel Gibson,3.5,0.3,0.451,0.387,74,190,13.8,1.5,2.195454545,3.6,2,42,16,397,Texas
Alexander Johnson,0.7,0.7,0.535,0.308,81,240,9.8,0.9,2.195454545,5.2,3,45,1.5,102,Florida State
Dee Brown,3.1,0.3,0.51,0.366,73,160,13.9,1.9,2.3,5.3,4,46,33.4,608,Illinois
Paul Millsap,0.9,2,0.58,0.375,80,245,18.6,1.3,2.195454545,12.7,3,47,79.6,837,Louisiana Tech
Leon Powe,1.1,0.6,0.495,0.3,80,240,17.8,0.8,2.195454545,9.8,2,49,12,239,California
Ryan Hollins,0.4,0.9,0.574,1,84,230,5.7,0.2,2.195454545,4,4,50,10.4,518,UCLA
Guillermo Diaz,2.6,0.3,0.493,0.38,74,192,15.9,1.3,2.195454545,3.4,3,52,0,6,Miami
Hassan Adams,2,0.7,0.535,0.311,76,220,14,1.8,2.195454545,5.4,4,54,0.8,73,Arizona
J.R. Pinnock,2.1,0.6,0.533,0.308,77,213.4718329,12.6,1.8,2.195454545,4.6,3,58,0,0,George Washington
Will Blalock,5,0.1,0.445,0.365,72,205,11.6,1.9,2.195454545,3.1,3,60,-0.1,14,Iowa State
Greg Oden,0.7,3.3,0.616,0,84,250,15.7,0.6,2.195454545,9.6,1,1,7.3,105,Ohio State
Kevin Durant,1.3,1.9,0.505,0.404,81,215,25.8,1.9,2.195454545,11.1,1,2,119.8,703,Texas
Al Horford,1.7,1.7,0.589,0,82,245,10.3,0.9,2.195454545,7.9,3,3,70.4,646,Florida
Mike Conley,6.1,0.3,0.579,0.304,73,180,11.3,2.2,2.195454545,3.4,1,4,62.8,706,Ohio State
